Train data done.
[还, AD, DP:advmod, DPW:当, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEC, DP:cpm, DPW:不错, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[选择, NN, DP:dobj, DPW:象素, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[!, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[无论, AD, DP:advmod, DPW:手感, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[手感, NN, DP:nsubj, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[还, AD, DP:advmod, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[易, AD, DP:advmod, DPW:一样, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[用, P, DP:prep, DPW:一样, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[性, NN, DP:pobj, DPW:用, DPPOS:P, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[都, AD, DP:advmod, DPW:一样, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[和, P, DP:prep, DPW:一样, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[传统, JJ, DP:amod, DPW:机, DPPOS:NN, OP:POS, EM:NONE] >> KEY:NONE KEY:NONE
[机, NN, DP:pobj, DPW:和, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[一样, VA, DP:ccomp, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[用, P, DP:prep, DPW:容易, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[惯, VV, DP:rcmod, DPW:人, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, AS, DP:asp, DPW:惯, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[佳能, NR, DP:nn, DPW:机器, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[EOS, CD, DP:nummod, DPW:系列, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[系列, M, DP:clf, DPW:机器, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机器, NN, DP:dobj, DPW:惯, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEC, DP:cpm, DPW:惯, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[人, NN, DP:pobj, DPW:用, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[都, AD, DP:advmod, DPW:容易, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[很, AD, DP:advmod, DPW:容易, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[容易, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[上手, VV, DP:dep, DPW:容易, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[由于, P, DP:prep, DPW:贵, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[需要, VV, DP:pccomp, DPW:由于, DPPOS:P, OP:NONE, EM:POS] >> KEY:NONE KEY:NONE
[乘, VV, DP:rcmod, DPW:系数, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[1.6, CD, DP:range, DPW:乘, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEC, DP:cpm, DPW:乘, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[系数, NN, DP:dobj, DPW:需要, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[广角镜头, NN, DP:nsubj, DPW:贵, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[太, AD, DP:advmod, DPW:贵, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[贵, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[了, AS, DP:asp, DPW:贵, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[非常, AD, DP:advmod, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[好, VA, DP:rcmod, DPW:机器, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[的, DEC, DP:cpm, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机器, NN, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR

[操作, NN, DP:nn, DPW:反应, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[反应, NN, DP:nsubj, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[较, AD, DP:advmod, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[快, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[对, P, DP:prep, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[焦, NN, DP:pobj, DPW:对, DPPOS:P, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[快, VA, DP:dep, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[画质, NN, DP:nsubj, DPW:细腻, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[细腻, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[层次丰富, VA, DP:dep, DPW:细腻, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[对, P, DP:prep, DPW:亮灯, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[焦点, NN, DP:pobj, DPW:对, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[没有, VV, DP:mmod, DPW:亮灯, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[亮灯, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[指示, NN, DP:dobj, DPW:亮灯, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[非常, AD, DP:advmod, DPW:满意, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[满意, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:POS] >> KEY:OP KEY:OP

[初, NN, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[哥, NR, DP:dep, DPW:码, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[上数, CD, DP:nummod, DPW:码, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[码, M, DP:prnmod, DPW:初, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:码, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[首选, JJ, DP:prnmod, DPW:初, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[象素, AD, DP:advmod, DPW:低, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[低, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[机身, NN, DP:assmod, DPW:闪光灯, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:机身, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[闪光灯, NN, DP:nsubj, DPW:力, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[不够, AD, DP:neg, DPW:力, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[力, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[一定, AD, DP:advmod, DPW:配, DPPOS:VV, OP:POS, EM:NONE] >> KEY:NONE KEY:NONE
[要, VV, DP:mmod, DPW:配, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[配, VV, DP:nsubj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[外, NN, DP:dobj, DPW:配, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[接, VV, DP:conj, DPW:配, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEC, DP:cpm, DPW:配, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[才, AD, DP:advmod, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[有, VE, DP:dep, DPW:力, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[满意, NN, DP:nn, DPW:效果, DPPOS:NN, OP:NONE, EM:POS] >> KEY:NONE KEY:NONE
[效果, NN, DP:dobj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[Canon, NN, DP:nsubj, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[对, P, DP:prep, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[它, PN, DP:assmod, DPW:定位, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:它, DPPOS:PN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[定位, NN, DP:pobj, DPW:对, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[", AD, DP:advmod, DPW:离, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[离, VV, DP:rcmod, DPW:", DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[专业, NN, DP:nn, DPW:机, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机, NN, DP:nn, DPW:遥, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[一, CD, DP:nummod, DPW:步, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[步, M, DP:assmod, DPW:遥, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[之, DEG, DP:assm, DPW:步, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[遥, NN, DP:dobj, DPW:离, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEC, DP:cpm, DPW:离, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[业余, JJ, DP:amod, DPW:", DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机, NN, DP:nn, DPW:", DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[", NN, DP:attr, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[所以, AD, DP:advmod, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[专业, NN, DP:nn, DPW:机, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机, NN, DP:assmod, DPW:气派, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:机, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[气派, NN, DP:nsubj, DPW:有, DPPOS:VE, OP:POS, EM:NONE] >> KEY:NONE KEY:NONE
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[耐用, JJ, DP:vmod, DPW:品质, DPPOS:NN, OP:POS, EM:NONE] >> KEY:NONE KEY:NONE
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[做工, VV, DP:dep, DPW:耐用, DPPOS:JJ, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[等, ETC, DP:dep, DPW:耐用, DPPOS:JJ, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[品质, NN, DP:nsubj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[在, P, DP:prep, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[它, PN, DP:nn, DPW:身上, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[身上, NN, DP:pobj, DPW:在, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[都, AD, DP:advmod, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[有, VE, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[体现, NN, DP:dobj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[各位, DT, DP:det, DPW:大使, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[大使, NN, DP:nsubj, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[们, AD, DP:advmod, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[都, AD, DP:advmod, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[说, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, AS, DP:asp, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[小生, NN, DP:nsubj, DPW:在, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[不, AD, DP:neg, DPW:在, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[在, VV, DP:ccomp, DPW:说, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[多, AD, DP:advmod, DPW:言, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[言, VV, DP:ccomp, DPW:在, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[像, NN, DP:nsubj, DPW:少, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[素, AD, DP:advmod, DPW:少, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[少, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[停产, NN, DP:xsubj, DPW:早, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[早, VA, DP:ccomp, DPW:少, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[稍, AD, DP:advmod, DPW:重, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[重, VA, DP:dep, DPW:早, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[非常, AD, DP:advmod, DPW:满意, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[满意, VA, DP:rcmod, DPW:单, DPPOS:NN, OP:NONE, EM:POS] >> KEY:OP KEY:OP
[的, DEC, DP:cpm, DPW:满意, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[一, CD, DP:nummod, DPW:款, DPPOS:M, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[款, M, DP:clf, DPW:单, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[数码, JJ, DP:amod, DPW:单, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[单, NN, DP:nsubj, DPW:反, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[反, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[！, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[左, JJ, DP:amod, DPW:贡, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[贡, NN, DP:nsubj, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[比, P, DP:prep, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[现在, NT, DP:pobj, DPW:比, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:现在, DPPOS:NT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[都, AD, DP:advmod, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[要, VV, DP:mmod, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[好, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[许多, CD, DP:dep, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[外, NN, DP:nn, DPW:专业, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[型, NN, DP:nn, DPW:专业, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[专业, NN, DP:nsubj, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:OP KEY:ATTR $$$$$$
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[操作, NN, DP:nn, DPW:反应, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[反应, NN, DP:nsubj, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[较, AD, DP:advmod, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[快, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[对, P, DP:prep, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[焦, NN, DP:pobj, DPW:对, DPPOS:P, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[快, VA, DP:dep, DPW:快, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[画质, NN, DP:nsubj, DPW:细腻, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[细腻, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[层次丰富, VA, DP:dep, DPW:细腻, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[画质, NN, DP:nsubj, DPW:柔, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[有些, AD, DP:advmod, DPW:柔, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[柔, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[暗处, AD, DP:advmod, DPW:犹豫不决, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[对, P, DP:prep, DPW:犹豫不决, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[焦, NN, DP:pobj, DPW:对, DPPOS:P, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[犹豫不决, VV, DP:dep, DPW:柔, DPPOS:VA, OP:NEG, EM:NONE] >> KEY:OP KEY:OP
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机, NN, DP:lobj, DPW:内, DPPOS:LC, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[内, LC, DP:loc, DPW:弱, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[辅助, NN, DP:nsubj, DPW:弱, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[对, P, DP:prep, DPW:弱, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[焦, NN, DP:nn, DPW:灯, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[灯, NN, DP:pobj, DPW:对, DPPOS:P, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[弱, VA, DP:dep, DPW:柔, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[逆光, NN, DP:lobj, DPW:时, DPPOS:LC, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[时, LC, DP:loc, DPW:欠, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[容易, AD, DP:advmod, DPW:欠, DPPOS:VV, OP:POS, EM:NONE] >> KEY:NONE KEY:NONE
[欠, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[曝, NN, DP:dobj, DPW:欠, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[下面, NN, DP:nsubj, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[这, DT, DP:top, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[张, M, DP:clf, DPW:这, DPPOS:DT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[加权, NN, DP:nn, DPW:测光, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[测光, NN, DP:attr, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[+1EV, CD, DP:nsubj, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
